"4.02 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Total de pessoas,,,
Tipo de família com base no número de núcleos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,26370,0,0,11169,11469,2912,624,129,48,19,99155,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,2552,0,0,0,997,1066,345,97,26,21,12477,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,5763,0,0,4000,1364,306,72,15,4,2,19575,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,5270,0,0,4000,1051,181,30,7,1,0,17346,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,493,0,0,0,313,125,42,8,3,2,2229,,,
            Casal de facto sem filhos,2864,0,2564,271,24,5,0,0,0,0,6062,,,
              Casal de facto sem filhos sem outras pessoas,2564,0,2564,0,0,0,0,0,0,0,5128,,,
              Casal de facto sem filhos com outras pessoas,300,0,0,271,24,5,0,0,0,0,934,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,3726,0,0,1921,1206,406,133,38,15,7,13869,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,3364,0,0,1921,1010,301,93,26,9,4,12157,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,362,0,0,0,196,105,40,12,6,3,1712,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,198,0,0,141,45,9,1,0,2,0,670,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,177,0,0,141,29,6,0,0,1,0,577,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21,0,0,0,16,3,1,0,1,0,93,,,
            Pai com pelo menos um filho com menos de 25 anos,779,0,377,277,84,31,6,1,3,0,2143,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,649,0,377,202,49,15,3,1,2,0,1672,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,130,0,0,75,35,16,3,0,1,0,471,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,698,0,492,160,36,7,3,0,0,0,1661,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,638,0,492,120,20,5,1,0,0,0,1455,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,60,0,0,40,16,2,2,0,0,0,206,,,
            Mãe com pelo menos um filho com menos de 25 anos,5614,0,2330,2175,766,228,78,21,13,3,16139,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,4537,0,2330,1571,453,132,35,10,6,0,12173,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,1077,0,0,604,313,96,43,11,7,3,3966,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,4817,0,3288,1126,303,66,25,6,2,1,11713,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,4355,0,3288,822,185,44,13,0,2,1,10105,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,462,0,0,304,118,22,12,6,0,0,1608,,,
          Famílias com dois núcleos,4564,0,0,0,1063,1498,1153,513,200,137,25166,,,
            Famílias sem filhos nos dois núcleos,380,0,0,0,340,35,3,1,1,0,1568,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,340,0,0,0,340,0,0,0,0,0,1360,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,40,0,0,0,0,35,3,1,1,0,208,,,
            Famílias com filhos só num dos núcleos,1986,0,0,0,494,884,449,119,28,12,10265,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,1777,0,0,0,494,823,366,80,12,2,8961,,,
              Famílias com filhos só num dos núcleos com outras pessoas,209,0,0,0,0,61,83,39,16,10,1304,,,
            Famílias com filhos nos dois núcleos,2198,0,0,0,229,579,701,393,171,125,13333,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,1866,0,0,0,229,532,623,289,115,78,10998,,,
              Famílias com filhos nos dois núcleos com outras pessoas,332,0,0,0,0,47,78,104,56,47,2335,,,
          Famílias com três ou mais núcleos,347,0,0,0,0,0,34,69,84,160,3034,,,
            Famílias com três ou mais núcleos sem outras pessoas,298,0,0,0,0,0,34,63,79,122,2524,,,
            Famílias com três ou mais núcleos com outras pessoas,49,0,0,0,0,0,0,6,5,38,510,,,
